MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2020,Mahindra,XUV 3OO 1.2 W6 MT,,"30,557 km",PetrolDL-10,1st Owner,"₹9,26,199"
2019,Mahindra,XUV 3OO W8(O),Manual,"84,472 km",DieselDL-8C,1st Owner,"₹8,69,999"
2019,Mahindra,XUV 3OO 1.5 W6 MT,Manual,"40,883 km",DieselUP-14,1st Owner,"₹8,61,199"
2022,Mahindra,XUV 3OO 1.2 W6 AT,,"22,158 km",PetrolDL-1C,1st Owner,"₹10,63,499"
2018,Mahindra,KUV 100 NXT K2 D 6S,Manual,"65,179 km",DieselDL-10,1st Owner,"₹4,42,899"
2020,Mahindra,KUV 100 NXT K8 6 STR,Manual,"26,674 km",PetrolDL-8C,1st Owner,"₹6,94,399"
2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"43,142 km",DieselUP-53,1st Owner,"₹12,59,599"
2020,Hyundai,Creta E,Manual,"62,128 km",DieselUP-32,1st Owner,"₹10,70,899"
2021,Mahindra,Thar LX  4WD AT CONVERTIBLE,Automatic,"18,128 km",PetrolHR-21,1st Owner,"₹16,31,699"
2020,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"30,227 km",PetrolHR-10,2nd Owner,"₹8,44,599"
2021,Mahindra,Scorpio S11,Manual,"14,445 km",DieselUP-44,2nd Owner,"₹17,86,599"
2020,Honda,WR-V 1.5 i-DTEC VX MT,Manual,"59,848 km",DieselHR-10,1st Owner,"₹10,40,199"
2020,Tata,Harrier XZ 2.0L Kryotec,Manual,"33,760 km",DieselUP-78,1st Owner,"₹12,52,099"
2020,Mahindra,Scorpio S9,Manual,"52,492 km",DieselUP-74,1st Owner,"₹13,32,299"
2018,Hyundai,Creta 1.6 SX AT CRDI,Automatic,"40,671 km",DieselHR-51,2nd Owner,"₹13,11,499"
2021,Tata,NEXON XZA + 1.2 PETROL A/T,Automatic,"17,742 km",PetrolDL-3C,1st Owner,"₹10,55,899"
2022,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"6,644 km",PetrolDL-8C,1st Owner,"₹10,33,699"
2020,Mahindra,Scorpio S11,Manual,"52,034 km",DieselUP-32,1st Owner,"₹15,46,899"
2016,Hyundai,Creta 1.6 S,Manual,"76,840 km",PetrolUP-16,3rd Owner,"₹7,70,999"
2022,Hyundai,VENUE S MT 1.2 KAPPA,Manual,"14,875 km",PetrolDL-7C,1st Owner,"₹9,13,299"
2016,Hyundai,Creta 1.6 S,Manual,"19,702 km",PetrolDL-1C,2nd Owner,"₹8,75,699"
2019,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"27,076 km",DieselHR-51,1st Owner,"₹8,13,199"
2021,Maruti,Vitara Brezza ZXI +,Manual,"9,715 km",PetrolDL-2C,1st Owner,"₹9,67,899"
2016,Mahindra,Scorpio S10,Manual,"43,912 km",DieselDL-12,1st Owner,"₹9,90,599"
2018,Maruti,S Cross SIGMA SHVS,Manual,"67,477 km",DieselDL-8C,1st Owner,"₹6,83,599"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"59,371 km",PetrolUP-53,1st Owner,"₹6,79,299"
2019,Maruti,Vitara Brezza ZDI AMT,Automatic,"31,588 km",DieselDL-8C,1st Owner,"₹9,33,499"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2018,Maruti,S Cross ALPHA SHVS,Manual,"13,730 km",DieselDL-8C,1st Owner,"₹11,15,299"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"26,950 km",PetrolUP-65,2nd Owner,"₹16,03,399"
2018,Hyundai,Creta 1.6 SX CRDI,Manual,"41,223 km",DieselDL-3C,1st Owner,"₹9,52,199"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2019,Maruti,Ertiga ZXI Plus SHVS,Manual,"20,707 km",PetrolDL-6C,1st Owner,"₹9,93,099"
2022,Tata,NEXON XZ+ 1.5,Manual,"10,412 km",DieselHR-26,1st Owner,"₹12,07,299"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"15,499 km",PetrolDL-10,1st Owner,"₹10,79,799"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"58,968 km",PetrolHR-26,1st Owner,"₹15,13,399"
2017,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"85,182 km",DieselHR-51,1st Owner,"₹17,20,699"
2022,Hyundai,VENUE S Plus MT 1.2 Kappa,Manual,"9,463 km",PetrolUP-14,1st Owner,"₹9,68,199"
2022,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"6,644 km",PetrolDL-8C,1st Owner,"₹10,33,699"
2016,Hyundai,Creta 1.6 S,Manual,"76,840 km",PetrolUP-16,3rd Owner,"₹7,70,999"
2020,MG,HECTOR SHARP DCT PETROL,Automatic,"26,950 km",PetrolUP-65,2nd Owner,"₹16,03,399"
2018,Hyundai,Creta 1.6 SX CRDI,Manual,"41,223 km",DieselDL-3C,1st Owner,"₹9,52,199"
2018,Mahindra,XUV500 W11 (O) AT,Automatic,"55,280 km",DieselHR-26,2nd Owner,"₹13,81,899"
2019,Maruti,Ertiga ZXI Plus SHVS,Manual,"20,707 km",PetrolDL-6C,1st Owner,"₹9,93,099"
2022,Tata,NEXON XZ+ 1.5,Manual,"10,412 km",DieselHR-26,1st Owner,"₹12,07,299"
2019,Maruti,XL6 ALPHA SHVS  MT,Manual,"15,499 km",PetrolDL-10,1st Owner,"₹10,79,799"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"58,968 km",PetrolHR-26,1st Owner,"₹15,13,399"
2017,Toyota,Innova Crysta 2.8 ZX AT 7 STR,Automatic,"85,182 km",DieselHR-51,1st Owner,"₹17,20,699"
2022,Hyundai,VENUE S Plus MT 1.2 Kappa,Manual,"9,463 km",PetrolUP-14,1st Owner,"₹9,68,199"
2019,Tata,NEXON XMA 1.5,Manual,"93,992 km",DieselDL-8C,1st Owner,"₹6,58,799"
2021,Maruti,Vitara Brezza ZXI +,Manual,"9,715 km",PetrolDL-2C,1st Owner,"₹9,67,899"
2016,Mahindra,Scorpio S10,Manual,"43,912 km",DieselDL-12,1st Owner,"₹9,90,599"
2018,Maruti,S Cross SIGMA SHVS,Manual,"67,477 km",DieselDL-8C,1st Owner,"₹6,83,599"
2017,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"59,371 km",PetrolUP-53,1st Owner,"₹6,79,299"
2022,Maruti,Vitara Brezza LXI,Manual,"8,195 km",PetrolDL-11,1st Owner,"₹8,61,799"
2016,Maruti,Vitara Brezza ZDI,Manual,"1,01,529 km",DieselHR-26,1st Owner,"₹5,60,399"
2017,Honda,WR-V 1.2 i-VTEC S MT,Manual,"59,583 km",PetrolDL-10,1st Owner,"₹6,42,599"
2022,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"6,644 km",PetrolDL-8C,1st Owner,"₹10,33,699"
2018,Tata,NEXON XM 1.2,Manual,"22,725 km",PetrolDL-2C,1st Owner,"₹7,13,699"
2019,Tata,NEXON XM 1.2,Manual,"17,959 km",PetrolDL-11,1st Owner,"₹7,30,199"
2019,Renault,TRIBER RXE MT PETROL,Manual,"12,365 km",PetrolDL-3C,1st Owner,"₹5,09,099"
2021,Maruti,S Cross SIGMA 1.5 SHVS,Manual,"9,620 km",PetrolDL-7C,1st Owner,"₹9,11,799"
2018,Hyundai,Creta 1.6 E + VTVT,Manual,"51,678 km",PetrolHR-26,1st Owner,"₹8,97,799"
2020,KIA,SELTOS GTX + AT PETROL,Automatic,"18,469 km",PetrolDL-14,1st Owner,"₹18,34,599"
2020,KIA,SELTOS GTX + AT PETROL,Automatic,"8,241 km",PetrolDL-8C,1st Owner,"₹16,80,599"
2018,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"18,459 km",DieselDL-11,1st Owner,"₹7,97,299"
2018,Hyundai,Creta 1.6 E + VTVT,Manual,"64,753 km",PetrolDL-5C,1st Owner,"₹8,86,099"
2019,Tata,NEXON XM 1.2,Manual,"53,787 km",PetrolHR-19,1st Owner,"₹6,66,999"
2018,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"71,854 km",DieselDL-8C,1st Owner,"₹7,49,899"
2020,Hyundai,Creta 1.6 VTVT SX AUTO,Automatic,"28,883 km",PetrolDL-3C,1st Owner,"₹13,37,999"
2020,KIA,SELTOS HTK PLUS AT 1.5 DIESEL,Automatic,"41,500 km",DieselHR-10,1st Owner,"₹14,44,899"
2018,Tata,Hexa Varicor 400 XMA,Automatic,"76,644 km",DieselDL-7C,1st Owner,"₹10,86,599"
2017,Ford,Ecosport 1.5 TDCI TITANIUM PLUS,Manual,"26,892 km",DieselDL-10,1st Owner,"₹7,07,499"
2021,Renault,Duster RXZ CVT 1.3 TURBO,Automatic,"10,821 km",PetrolDL-7C,1st Owner,"₹14,08,399"
2021,Mahindra,Scorpio S11,Manual,"10,794 km",DieselHR-10,1st Owner,"₹16,84,999"
2021,Tata,Harrier XZA  DUAL TONE,Automatic,"17,524 km",DieselUP-14,1st Owner,"₹18,32,299"
2020,Maruti,XL6 ALPHA SHVS  MT,Manual,"70,925 km",PetrolDL-12,1st Owner,"₹9,15,699"
2018,Maruti,Vitara Brezza ZDI,Manual,"40,479 km",DieselDL-3C,2nd Owner,"₹7,79,699"
2016,Hyundai,Creta 1.6 S,Manual,"75,256 km",PetrolDL-2C,1st Owner,"₹8,16,299"
2016,Hyundai,Creta 1.6 S,Manual,"41,666 km",PetrolDL-3C,1st Owner,"₹9,48,899"
2014,Maruti,Swift Dzire LXI 1.2 BS IV,Manual,"58,920 km",PetrolUP-14,1st Owner,"₹3,87,599"
2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"84,063 km",PetrolDL-10,2nd Owner,"₹4,14,499"
2014,Hyundai,Xcent S 1.2 OPT,Manual,"49,326 km",PetrolHR-26,1st Owner,"₹4,43,799"
2014,Maruti,Ciaz ZXI,Manual,"60,964 km",PetrolDL-1C,1st Owner,"₹5,84,699"
2017,Honda,City VX CVT PETROL,Automatic,"52,674 km",PetrolHR-26,1st Owner,"₹9,23,499"
2016,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"38,655 km",PetrolDL-6C,1st Owner,"₹5,13,899"
2015,Honda,Amaze 1.2 VXMT I VTEC,Manual,"32,510 km",PetrolDL-7C,1st Owner,"₹4,69,899"
2015,Maruti,Ciaz ZXI PLUS,Manual,"50,714 km",PetrolDL-4C,1st Owner,"₹6,86,199"
2020,Tata,TIGOR XZ 1.2 REVOTRON,Manual,"49,481 km",Petrol + CNGHR-36,1st Owner,"₹6,10,799"
2018,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"82,500 km",DieselHR-26,2nd Owner,"₹7,40,199"
2019,Maruti,Dzire ZXI AMT,Automatic,"31,076 km",PetrolUP-14,1st Owner,"₹7,30,749"
2015,Hyundai,Xcent S 1.2,Manual,"36,353 km",PetrolHR-26,1st Owner,"₹4,53,599"
2017,Honda,City SV MT PETROL,Manual,"59,333 km",PetrolHR-26,1st Owner,"₹6,93,299"
2014,Honda,City SV MT PETROL,Manual,"60,164 km",PetrolUP-32,1st Owner,"₹5,62,899"
2021,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"5,150 km",PetrolHR-98,1st Owner,"₹11,13,599"
2021,Tata,TIGOR XZ PLUS 1.2 REVOTRON,Manual,"9,553 km",PetrolUP-14,1st Owner,"₹7,74,799"
2014,Honda,City VX MT PETROL,Manual,"61,168 km",PetrolHR-26,2nd Owner,"₹6,42,699"
2017,Maruti,Ciaz SIGMA 1.4 VVT,Manual,"10,586 km",PetrolDL-8C,1st Owner,"₹7,21,899"
2014,Hyundai,Xcent S 1.2 OPT,Manual,"64,118 km",PetrolDL-10,1st Owner,"₹3,72,299"
2010,Maruti,Swift Dzire ZXI 1.3,Manual,"77,946 km",PetrolDL-9C,2nd Owner,"₹2,70,099"
2013,Maruti,Swift Dzire VXI,Manual,"82,847 km",PetrolUP-32,2nd Owner,"₹3,42,899"
2020,Skoda,Rapid ACTIVE 1.0 TSI,Manual,"18,906 km",PetrolDL-2C,1st Owner,"₹9,46,699"
2021,Skoda,Rapid MONTE CARLO 1.0 MT,Manual,"35,096 km",PetrolDL-10,1st Owner,"₹11,91,499"
2019,Maruti,Dzire LXI,Manual,"12,490 km",PetrolDL-8C,1st Owner,"₹6,00,799"
2021,Volkswagen,Vento COMFORTLINE 1.0 TSI MT,Manual,"13,265 km",PetrolDL-7C,1st Owner,"₹8,43,399"
2017,Honda,City V MT PETROL,Manual,"39,749 km",PetrolHR-26,1st Owner,"₹8,77,699"
2022,Honda,Amaze 1.2 SMT I VTEC,Manual,"7,859 km",PetrolUP-16,1st Owner,"₹7,51,949"
2018,Hyundai,Xcent E PLUS,Manual,"27,675 km",PetrolHR-29,1st Owner,"₹4,88,199"
2020,Maruti,Dzire VXI,Manual,"15,847 km",PetrolHR-14,1st Owner,"₹7,02,199"
2019,Ford,Figo Aspire 1.2 TITANIUM+ PETROL,Manual,"11,371 km",PetrolDL-8C,1st Owner,"₹6,72,799"
2021,Hyundai,AURA E MT 1.2 KAPPA,Manual,"1,125 km",PetrolDL-7C,1st Owner,"₹6,36,299"
2020,Hyundai,Verna SX(O) PETROL MT,Manual,"12,290 km",PetrolDL-7C,1st Owner,"₹13,55,799"
2019,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"19,470 km",PetrolDL-11,1st Owner,"₹8,58,499"
2019,Maruti,Dzire VXI AMT,Automatic,"21,477 km",PetrolUP-14,1st Owner,"₹6,83,199"
2016,Honda,Amaze 1.2 SX MT I VTEC,Manual,"28,906 km",PetrolDL-2C,1st Owner,"₹5,73,099"
2021,Skoda,Rapid STYLE 1.0TSI MT,Manual,"10,418 km",PetrolDL-8C,1st Owner,"₹11,14,999"
2021,Volkswagen,Vento COMFORTLINE 1.0 TSI MT,Manual,"16,336 km",PetrolHR-26,1st Owner,"₹9,87,299"
2020,Honda,City VX MT PETROL,Manual,"7,632 km",PetrolHR-26,1st Owner,"₹11,68,999"
2017,Honda,Amaze 1.2 SMT I VTEC,Manual,"46,732 km",PetrolDL-4C,1st Owner,"₹4,58,599"
2021,Hyundai,AURA S 1.2 Kappa MT,Manual,"5,150 km",PetrolHR-50,1st Owner,"₹6,68,499"
2017,Maruti,Dzire ZDI Plus AMT,Automatic,"24,577 km",DieselDL-6C,1st Owner,"₹6,89,599"
2018,Honda,Amaze 1.2 SMT I VTEC,Manual,"29,441 km",PetrolHR-26,1st Owner,"₹5,87,199"
2017,Volkswagen,Ameo HIGHLINE PLUS DSG 1.5,Automatic,"41,739 km",DieselDL-10,1st Owner,"₹5,97,099"
2014,Honda,Amaze 1.2 SX MT I VTEC,Manual,"45,525 km",PetrolDL-10,1st Owner,"₹4,63,999"
2017,Honda,City ZX CVT,Automatic,"27,652 km",PetrolUP-65,2nd Owner,"₹9,72,399"
2018,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"11,951 km",PetrolDL-14,1st Owner,"₹7,67,599"
2019,Honda,City ZX CVT,Automatic,"11,647 km",PetrolDL-3C,1st Owner,"₹12,03,999"
2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"85,454 km",PetrolDL-9C,1st Owner,"₹3,74,099"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"72,250 km",PetrolUP-14,1st Owner,"₹6,05,799"
2019,Maruti,Dzire VXI,Manual,"17,257 km",PetrolUP-16,1st Owner,"₹6,87,599"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"10,439 km",PetrolDL-10,1st Owner,"₹11,85,549"
2017,Honda,City ZX CVT,Automatic,"27,601 km",PetrolDL-3C,1st Owner,"₹10,34,199"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"16,292 km",PetrolHR-26,2nd Owner,"₹10,55,399"
2015,Maruti,Swift Dzire LXI OPT,Manual,"57,965 km",PetrolDL-3C,1st Owner,"₹4,51,799"
2018,Maruti,Dzire VXI AMT,Automatic,"42,365 km",PetrolDL-9C,1st Owner,"₹6,30,199"
2012,Maruti,Swift Dzire VXI,Manual,"61,580 km",PetrolUP-14,1st Owner,"₹3,66,649"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"54,698 km",PetrolDL-10,1st Owner,"₹10,50,099"
2015,Maruti,Ciaz ZXI,Manual,"70,882 km",PetrolHR-26,1st Owner,"₹5,72,999"
2014,Hyundai,Xcent S 1.2 OPT,Manual,"90,060 km",PetrolDL-12,1st Owner,"₹4,04,899"
2013,Toyota,Etios V SP,Manual,"36,015 km",PetrolHR-26,1st Owner,"₹3,90,599"
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"58,039 km",PetrolHR-26,1st Owner,"₹4,66,299"
2021,Renault,Kwid RXT,Manual,"7,325 km",PetrolDL-5C,2nd Owner,"₹4,53,799"
2021,Maruti,Baleno ZETA 1.2 K12 CVT,Automatic,"9,468 km",PetrolDL-10,1st Owner,"₹9,48,799"
2016,Hyundai,Elite i20 MAGNA 1.2,Manual,"52,830 km",PetrolUP-78,1st Owner,"₹5,11,849"
2022,Maruti,Swift VXI,Manual,"7,638 km",PetrolDL-5C,1st Owner,"₹6,90,499"
2010,Maruti,Alto LXI,Manual,"48,178 km",PetrolHR-26,2nd Owner,"₹1,67,499"
2021,Hyundai,NEW SANTRO SPORTZ EXECUTIVE CNG,Manual,"45,369 km",Petrol + CNGHR-10,1st Owner,"₹6,26,999"
2020,Maruti,S PRESSO VXI PLUS,Manual,"48,914 km",PetrolHR-11,1st Owner,"₹4,01,399"
2021,Maruti,Alto LXI CNG,Manual,"20,206 km",Petrol + CNGHR-98,1st Owner,"₹5,05,399"
2021,Maruti,IGNIS DELTA 1.2 K12,Manual,"12,799 km",PetrolUP-16,1st Owner,"₹6,42,999"
2020,Maruti,Swift ZXI+,Manual,"15,138 km",PetrolHR-04,1st Owner,"₹7,42,599"
2015,Hyundai,Elite i20 MAGNA 1.2,Manual,"57,757 km",PetrolDL-3C,1st Owner,"₹4,90,599"
2019,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"20,969 km",PetrolHR-29,1st Owner,"₹5,07,099"
2020,Maruti,Baleno DELTA 1.2 K12,Manual,"20,059 km",PetrolHR-26,1st Owner,"₹7,20,799"
2020,Tata,ALTROZ XZ 1.2,Manual,"17,179 km",PetrolDL-9C,1st Owner,"₹7,94,599"
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"50,018 km",PetrolHR-26,2nd Owner,"₹4,55,399"
2018,Hyundai,Elite i20 SPORTZ 1.2,Manual,"29,407 km",PetrolDL-10,1st Owner,"₹6,36,399"
2020,Maruti,New  Wagon-R VXI 1.2L,Manual,"10,657 km",PetrolDL-9C,2nd Owner,"₹5,33,599"
2018,Maruti,IGNIS DELTA 1.2 K12,Manual,"29,535 km",PetrolHR-13,1st Owner,"₹4,82,099"
2015,Hyundai,Eon D LITE PLUS,Manual,"27,157 km",PetrolDL-2C,1st Owner,"₹2,53,799"
2017,Maruti,Alto 800 LXI,Manual,"20,364 km",PetrolDL-5C,1st Owner,"₹3,05,399"
2021,Renault,Kwid RXL,Manual,"16,973 km",PetrolHR-51,1st Owner,"₹4,14,899"
2016,Maruti,Baleno DELTA 1.2 K12,Manual,"40,738 km",PetrolDL-2C,1st Owner,"₹5,07,299"
2017,Maruti,Celerio ZXI OPT AMT,Automatic,"13,445 km",PetrolDL-2C,1st Owner,"₹4,78,499"
2021,Maruti,Swift VXI AMT,Automatic,"4,985 km",PetrolUP-16,2nd Owner,"₹7,07,099"
2018,Maruti,Swift ZXI+,Manual,"49,987 km",Petrol + CNGUP-14,1st Owner,"₹6,87,299"
2021,Maruti,Alto LXI CNG,Manual,"23,812 km",Petrol + CNGDL-3C,1st Owner,"₹4,66,799"
2021,Datsun,Redi Go T (O),Manual,"7,328 km",PetrolHR-72,1st Owner,"₹4,20,299"
2018,Hyundai,Elite i20 Magna Executive 1.2,Manual,"34,810 km",PetrolDL-2C,2nd Owner,"₹5,74,099"
2020,Renault,Kwid RXT,Manual,"13,004 km",PetrolUP-27,1st Owner,"₹4,79,999"
2021,Tata,Tiago XZ 1.2 REVOTRON,Manual,"27,497 km",PetrolHR-51,1st Owner,"₹5,90,399"
2016,Maruti,Swift VXI,Manual,"31,020 km",PetrolDL-8C,1st Owner,"₹4,56,399"
2019,Datsun,Redi Go A,Manual,"15,432 km",PetrolUP-14,1st Owner,"₹3,02,499"
2018,Maruti,Swift VXI AMT,Automatic,"57,153 km",PetrolHR-26,1st Owner,"₹6,23,399"
2017,Maruti,Celerio VXI,Manual,"26,031 km",PetrolHR-26,1st Owner,"₹3,95,599"
2019,Hyundai,NEW SANTRO ASTA 1.1 MT,Manual,"41,584 km",PetrolDL-5C,1st Owner,"₹4,87,599"
2018,Renault,Kwid RXT,Manual,"15,076 km",PetrolDL-1C,1st Owner,"₹3,68,899"
2020,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"6,470 km",PetrolUP-14,1st Owner,"₹5,97,199"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"43,970 km",PetrolDL-10,1st Owner,"₹6,16,499"
2018,Maruti,Celerio VXI CNG,Manual,"74,328 km",Petrol + CNGDL-12,1st Owner,"₹4,64,599"
2019,Hyundai,GRAND I10 NIOS SPORTZ PETROL,Manual,"14,592 km",PetrolHR-29,1st Owner,"₹6,43,899"
2017,Maruti,Alto K10 VXI,Manual,"44,907 km",PetrolDL-3C,2nd Owner,"₹3,51,399"
2019,Maruti,Baleno ZETA 1.2 K12,Manual,"53,447 km",PetrolDL-1C,1st Owner,"₹6,50,199"
2018,Datsun,Redi Go 1.0 S AT,Automatic,"22,766 km",PetrolDL-3C,2nd Owner,"₹3,88,599"
2011,Maruti,Wagon R 1.0 VXI,Manual,"28,876 km",PetrolDL-9C,1st Owner,"₹2,82,499"
2019,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"18,940 km",Petrol + CNGDL-14,1st Owner,"₹5,56,749"
2020,Maruti,S PRESSO VXI PLUS,Manual,"13,523 km",PetrolDL-1C,2nd Owner,"₹4,37,699"
2018,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"12,574 km",PetrolUP-14,2nd Owner,"₹5,03,699"
2020,Maruti,New  Wagon-R ZXI 1.2,Manual,"23,797 km",PetrolHR-26,1st Owner,"₹5,73,099"
2020,Maruti,S PRESSO VXI,Manual,"57,636 km",PetrolHR-51,1st Owner,"₹4,11,499"
2020,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"50,915 km",Petrol + CNGHR-51,1st Owner,"₹6,19,399"
2018,Maruti,Alto 800 LXI,Manual,"24,990 km",PetrolDL-5C,1st Owner,"₹3,42,599"
2017,Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,"29,991 km",PetrolDL-8C,1st Owner,"₹4,89,899"
2020,Maruti,New  Wagon-R VXI 1.0,Manual,"7,090 km",PetrolUP-14,1st Owner,"₹5,53,599"
2019,Maruti,Baleno DELTA 1.2 K12,Manual,"25,639 km",PetrolHR-26,1st Owner,"₹6,33,799"
2020,Maruti,Swift VXI,Manual,"3,152 km",PetrolDL-6C,1st Owner,"₹6,57,599"
2017,Maruti,Swift LXI OPT,Manual,"14,863 km",PetrolDL-12,2nd Owner,"₹4,89,399"
2017,Maruti,Baleno ZETA 1.2 K12,Manual,"33,015 km",PetrolUP-16,1st Owner,"₹6,02,099"
2015,Honda,Jazz 1.2 VX I-VTECH,Manual,"28,170 km",PetrolHR-26,1st Owner,"₹5,20,499"
2019,Hyundai,Elite i20 1.2 MAGNA PLUS VTVT,Manual,"22,372 km",PetrolUP-13,1st Owner,"₹6,83,099"
2016,Maruti,Alto 800 LXI,Manual,"61,377 km",PetrolDL-2C,1st Owner,"₹2,92,599"
2011,Hyundai,i10 MAGNA 1.1 IRDE2,Manual,"34,658 km",PetrolDL-4C,2nd Owner,"₹2,18,899"
2011,Maruti,Alto K10 VXI,Manual,"30,834 km",PetrolHR-26,2nd Owner,"₹2,29,599"
2014,Maruti,Swift VXI,Manual,"79,066 km",PetrolDL-4C,1st Owner,"₹3,92,299"
2012,Maruti,Alto 800 LXI,Manual,"86,123 km",PetrolHR-72,1st Owner,"₹2,07,799"
2017,Honda,Jazz 1.2 S MT,Manual,"19,800 km",PetrolDL-10,1st Owner,"₹5,64,899"
2017,Hyundai,Elite i20 ASTA 1.2 (O),Manual,"50,347 km",PetrolDL-7C,2nd Owner,"₹6,15,629"
2019,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"26,999 km",Petrol + CNGDL-5C,3rd Owner,"₹5,11,899"
2014,Maruti,Alto 800 VXI,Manual,"71,068 km",PetrolDL-8C,1st Owner,"₹2,67,699"
2013,Hyundai,Grand i10 ASTA 1.2 VTVT,Manual,"79,166 km",PetrolUP-32,1st Owner,"₹4,27,099"
2015,Maruti,Alto 800 LXI,Manual,"30,144 km",PetrolDL-2C,1st Owner,"₹2,84,899"
2017,Maruti,Swift LXI OPT,Manual,"57,610 km",PetrolDL-9C,1st Owner,"₹4,21,049"
2019,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"39,740 km",PetrolHR-29,1st Owner,"₹4,96,499"
2020,Maruti,Baleno DELTA 1.2 K12,Manual,"50,112 km",PetrolDL-2C,1st Owner,"₹6,52,499"
2010,Maruti,Alto LXI,Manual,"70,516 km",PetrolDL-9C,2nd Owner,"₹1,35,099"
2017,Maruti,IGNIS ZETA 1.2 K12,Manual,"57,597 km",PetrolDL-9C,1st Owner,"₹5,31,499"
2015,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"32,773 km",PetrolDL-8C,2nd Owner,"₹3,80,199"
2016,Maruti,Alto 800 VXI,Manual,"42,586 km",PetrolUP-16,1st Owner,"₹2,99,899"
2019,Maruti,New  Wagon-R LXI 1.0 L,Manual,"13,184 km",PetrolUP-14,1st Owner,"₹5,20,899"
2018,Maruti,Alto 800 LXI,Manual,"6,641 km",PetrolDL-3C,1st Owner,"₹3,42,599"
2022,KIA,CARENS LUXURY 1.4G MT 7STR,,"1,925 km",PetrolHR-98,1st Owner,"₹16,08,099"
2017,Toyota,Corolla Altis G AT,Automatic,"75,764 km",PetrolDL-10,1st Owner,"₹13,23,999"
2014,Mercedes,Benz C Class C 200 AVANTGARDE,Automatic,"37,838 km",PetrolUP-16,1st Owner,"₹18,54,499"
2014,Audi,A3 35TDI PREMIUM,Automatic,"91,887 km",DieselHR-26,2nd Owner,"₹9,65,799"
2015,Audi,A6 35 TDI S LINE,Automatic,"39,079 km",DieselHR-26,2nd Owner,"₹16,15,999"
2018,Toyota,Corolla Altis VL AT,Automatic,"65,783 km",PetrolDL-1C,1st Owner,"₹14,89,299"
2015,Audi,A6 2.0 TDI TECHNOLOGY,Automatic,"77,595 km",DieselUP-16,2nd Owner,"₹18,23,299"
2014,Toyota,Corolla Altis VL AT,Automatic,"89,401 km",PetrolHR-26,1st Owner,"₹8,77,699"
2017,Toyota,Corolla Altis GL,Manual,"44,929 km",PetrolDL-10,2nd Owner,"₹12,22,799"
2013,Jaguar,XF 2.2 DIESEL,Automatic,"28,289 km",DieselDL-6C,2nd Owner,"₹15,05,999"
2013,Mercedes,Benz E Class E 220 CDI ELEGANCE,Automatic,"53,524 km",DieselHR-26,1st Owner,"₹10,67,899"
2018,Jeep,Compass 2.0 LONGITUDE (O),Manual,"79,397 km",DieselUP-70,1st Owner,"₹10,91,199"
